id,word,definition,length,releaseDate
231,dilemma,i̇kilem,7,2023-08-03
232,ferment,maya (i),7,2023-08-03
233,mugalata,yanıltacak söz söyleme,8,2023-08-03
234,düzülmek,düzme işine konu olmak veya düzme işi yapılmak,8,2023-08-03
235,saymanlık,"hesap işlerinin görüldüğü yer, muhasiplik",9,2023-08-03
236,şamandıra,"halkalarına tekne bağlamak için limanda demirlenmiş olan, içi boş, her yanı kapalı, çoğunlukla metalden yapılan fıçı vb., yüzer top",9,2023-08-03
237,dökebilmek,dökme ihtimali veya imkânı bulunmak,10,2023-08-03
238,particilik,"bir partiden yana olma, fırkacılık, partizanlık",10,2023-08-03
239,zoka,"aldatıcı şey, tuzak, hile",4,2023-08-04
240,hobi,uğraşı,4,2023-08-04
241,burma,"burulmuş, burularak yapılmış, kıvrılmış",5,2023-08-04
242,yelin,"i̇nek, manda, koyun vb. hayvanlarda memenin süt toplanan bölümü",5,2023-08-04
243,samsun,savaşta kullanılan köpek,6,2023-08-04
244,kürklü,postu kürk olarak kullanılan (hayvan),6,2023-08-04
245,itilmek,i̇tme işi yapılmak,7,2023-08-04
246,düalizm,i̇kicilik,7,2023-08-04
247,ayartmak,"baştan çıkarmak, doğru yoldan saptırmak",8,2023-08-04
248,sallabaş,her sözü düşünmeden onaylayan,8,2023-08-04
249,sağaltmak,"sağlığa kavuşturmak, iyileştirmek, iyi etmek, tedavi etmek",9,2023-08-04
250,riayetsiz,"saygısız, kaba",9,2023-08-04
251,uyarlayıcı,adaptör,10,2023-08-04
252,çoğulculuk,"çeşitli eğilimlerin, düşüncelerin, yönetimde etkisini kabul eden siyasi yöntem, plüralizm",10,2023-08-04
253,şans,bir kimsenin bilgi ve emeğinden çok rastlantı sonucu elde ettiği elverişli durum,4,2023-08-05
254,alış,alma işi,4,2023-08-05
255,atıcı,"i̇yi nişan alan, attığını vuran (kimse)",5,2023-08-05
256,tarif,tanım,5,2023-08-05
257,ifşaat,gizli bir şeyi ortaya çıkarmak için yapılan açıklamalar,6,2023-08-05
258,seyyie,yanlış veya kötü bir davranış sonucu karşılaşılan kötü durum,6,2023-08-05
259,meyilli,"i̇lgili, gönül vermiş",7,2023-08-05
260,bulmaca,"çeşitli biçimlerde düzenlenen ve düşündürerek, aratarak buldurmayı amaç edinen oyun",7,2023-08-05
261,minnacık,"çok küçük, minimini",8,2023-08-05
262,zalimane,acımasızca,8,2023-08-05
263,konfedere,birleşmiş,9,2023-08-05
264,sigarasız,sigara içilmeyen,9,2023-08-05
265,sevebilmek,sevme ihtimali veya imkânı bulunmak,10,2023-08-05
266,radyoskopi,bir organ veya cismin her türlü açıdan biçiminin ve hareketlerinin ışınlar altında incelenmesini sağlayan muayenesi,10,2023-08-05
267,arif,çok anlayışlı ve sezgili (kimse),4,2023-08-06
268,ekin,"kültür, hars",4,2023-08-06
269,müjde,sevindirici haber verileceği zaman söylenen bir söz,5,2023-08-06
270,metbu,kendisine bağlanılan,5,2023-08-06
271,kışlak,"kışın orduların, göçebe oymakların hayvanlarıyla birlikte yayladan inip konakladıkları yer",6,2023-08-06
272,vecibe,"ödev, boyun borcu",6,2023-08-06
273,söyleşi,belli bir konuda alanla ilgili kişilerin katıldığı bilgilendirme toplantısı,7,2023-08-06
274,atasözü,"uzun deneme ve gözlemlere dayanılarak söylenmiş ve halka mal olmuş, öğüt verici nitelikte söz, deme, mesel, sav, darbımesel",7,2023-08-06
275,müstahak,"hak etmiş, hak kazanmış, layık",8,2023-08-06
276,mukayese,"benzeterek veya karşılaştırarak değerlendirme, karşılaştırma, kıyaslama",8,2023-08-06
277,piyangolu,"şanslı, talihli kimse",9,2023-08-06
278,melankoli,kara sevda,9,2023-08-06
279,mütebessim,"gülümseyen, güleç",10,2023-08-06
280,farmakolog,"i̇laç bilimi ile uğraşan, ilaç bilimi uzmanı",10,2023-08-06
281,şems,güneş,4,2023-08-07
282,ökçe,"ayakkabı altının topuğa rastlayan yüksek bölümü, topuk",4,2023-08-07
283,hitan,sünnet etme,5,2023-08-07
284,yıkım,yadımlama,5,2023-08-07
285,müspet,olumlu,6,2023-08-07
286,rehber,kılavuz,6,2023-08-07
287,laisizm,laiklik,7,2023-08-07
288,refakat,"arkadaşlık etme, birlikte bulunma",7,2023-08-07
289,yolkesen,yolda engelleme yapıp soygun düzenleyen,8,2023-08-07
290,direksiz,direği olmayan,8,2023-08-07
291,mütekabil,karşılıklı,9,2023-08-07
292,ödetilmek,ödetme işi yapılmak,9,2023-08-07
293,filarmonik,müzikseverlerin kurduğu dernek,10,2023-08-07
294,ortakçılık,"toprağın işlenmesi sonucunda elde edilecek ürünün, toprak sahibi ile toprağı işleyen arasında koşulları önceden belirlenen özel sözleşmeye göre paylaşılmasına dayanan işletme biçimi, yarıcılık, marabacılık",10,2023-08-07
295,yoga,ruhsal yaşama ve bedene egemen olmayı amaçlayan hint felsefe sistemi,4,2023-08-08
296,öbür,"öteki, diğer",4,2023-08-08
297,eosen,"üçüncü çağın, memelilerin oluştuğu dönemi",5,2023-08-08
298,medüz,denizanası,5,2023-08-08
299,manyok,"sütleğengillerden, sıcak ülkelerde yetişen, yaprakları almaşık, üçü veya yedisi bir arada yelpaze durumunda olan, büyük bir ağaç (manihot utilissima)",6,2023-08-08
300,şurada,şu yerde,6,2023-08-08
301,seküler,"yüzyıllık, yüzyılda bir olan",7,2023-08-08
302,manzume,şiir,7,2023-08-08
303,yansıtma,"i̇letme, duyurma",8,2023-08-08
304,tiramola,"geminin rüzgârüstüne veya rüzgâraltına dönmesi için yelkenlerin bazısını gevşetme, bazısını germe işlemi",8,2023-08-08
305,mümkünlük,olabilirlik,9,2023-08-08
306,değişimli,değişme özelliği gösteren,9,2023-08-08
307,demirhindi,"pinti, hasis",10,2023-08-08
308,intizamsız,"düzensiz, düzeni olmayan, karışık",10,2023-08-08
309,teşt,çamaşır leğeni,4,2023-08-09
310,heba,"hiçbir işe yaramadan yok olma, boşa gitme",4,2023-08-09
311,iştah,yemek yeme isteği,5,2023-08-09
312,pekçe,i̇yice,5,2023-08-09
313,nereli,birinin memleketini sormak için kullanılan bir söz,6,2023-08-09
314,yüksüz,yükü olmayan,6,2023-08-09
315,lambada,bu dansın müziği,7,2023-08-09
316,ekşimek,ekşi duruma gelmek,7,2023-08-09
317,pörsümek,"gevşeyip sarkmak, porsumak",8,2023-08-09
318,takipsiz,takip edilmeden,8,2023-08-09
319,sabotajcı,baltalayıcı,9,2023-08-09
320,nazariyat,kuramlar,9,2023-08-09
321,öngörülmek,"i̇lerisi için kararlaştırılmak, göz önünde tutulmak",10,2023-08-09
322,beyazlatma,"kâğıtçılıkta parlaklığın iyileştirilmesi için hamur bileşenlerinin renginin az veya çok oranda değiştirilmesi, giderilmesi",10,2023-08-09
323,kene,"koyun, köpek, at vb. hayvanların veya insanların derisinde asalak olarak yaşayan, bulaşıcı hastalıklara neden olan böceklerin genel adı, sakırga",4,2023-08-10
324,brik,"i̇ki direkli, seren yelkenli, birkaç top taşıyan gemi",4,2023-08-10
325,dokuz,sekizden bir artık,5,2023-08-10
326,arazi,yer,5,2023-08-10
327,başkan,"bir topluluğun, bir toplantının veya bir derneğin başında bulunan kimse, reis, reis bey",6,2023-08-10
328,sonsal,"deneyden çıkan ve deneye bağlı olan (bilgi), aposteriori",6,2023-08-10
329,mehabet,büyük ve saygıdeğer kimselere duyulan saygı,7,2023-08-10
330,muharip,savaşçı,7,2023-08-10
331,belirgin,açık bir biçimde,8,2023-08-10
332,kıymasız,i̇çinde kurt bulunmayan (meyve),8,2023-08-10
333,astronomi,gök bilimi,9,2023-08-10
334,safsatacı,"boş, temelsiz, asılsız konuşan (kimse)",9,2023-08-10
335,vakitsizce,uygun olmayan bir zamanda,10,2023-08-10
336,sivrisinek,"çift kanatlılardan, insan ve memeli hayvanların kanıyla beslenen, birçok türü bulunan ve bir türü sıtma mikrobu aşılayan, sulak, bataklık yerlerde çok üreyen ve bulaşıcı hastalıkları yayan uçucu böcek (culexpipiens)",10,2023-08-10
337,tali,"i̇kinci derecede olan, ikincil",4,2023-08-11
338,enva,"türler, çeşitler",4,2023-08-11
339,funda,süpürge otu,5,2023-08-11
340,pürüz,"bir şeyin düzgünlüğünü bozacak çıkıntı, gedik veya kusur",5,2023-08-11
341,aşısız,herhangi bir hastalığa karşı aşılanmamış olan (kimse),6,2023-08-11
342,sabote,baltalama,6,2023-08-11
343,haydari,"süzme yoğurt, sarımsak, nane, dereotu ve tereyağı karışımıyla hazırlanan bir meze türü",7,2023-08-11
344,ekipman,takım,7,2023-08-11
345,pastırma,"tuz, çemen, kırmızıbiber karışımının et üzerine sürülerek güneşte veya iste kurutulması yoluyla yapılan yiyecek",8,2023-08-11
346,pejmürde,"eski püskü, yırtık",8,2023-08-11
347,kontrplak,"genellikle mobilya işlerinde kullanılan, en az üç kaplamanın üst üste tutkallanmasından oluşan, ince, esnek tahta",9,2023-08-11
348,fıstıklık,"fıstık ağaçları dikilmiş yer, fıstık bahçesi",9,2023-08-11
349,mutedillik,ilımlılık,10,2023-08-11
350,odyovizüel,görsel-işitsel,10,2023-08-11
351,büyü,"tabiat kanunlarına aykırı sonuçlar elde etmek iddiasında olanların başvurdukları gizli işlem ve davranışlara verilen genel ad, afsun, efsun, sihir, füsun, bağı",4,2023-08-12
352,ekim,"yılın onuncu ayı, teşrinievvel",4,2023-08-12
353,fanus,"süslü, ayaklı fener",5,2023-08-12
354,i̇lah,tanrı,5,2023-08-12
355,itizar,özür dileme,6,2023-08-12
356,kösnül,erotik,6,2023-08-12
357,pankras,güreşle boksu birleştiren spor karşılaşması,7,2023-08-12
358,evvelce,"önceden, eskiden",7,2023-08-12
359,kapsamak,"i̇çine almak, sınırları içine almak, şamil olmak",8,2023-08-12
360,kalamata,bir tür etli ve büyük zeytin,8,2023-08-12
361,kütüphane,kitaplık,9,2023-08-12
362,işletmeci,"bir fabrikayı veya gelir getiren bir kuruluşu yöneten kimse, operatör",9,2023-08-12
363,müzikalite,müziğe uygun özellikleri taşıma,10,2023-08-12
364,yapayalnız,yanında kimse veya hiçbir şey bulunmayarak,10,2023-08-12
365,kloş,alt tarafı çan biçiminde genişleyen (etek),4,2023-08-13
